,20171107,20171109,20171110,20171113,20171114,20171115,20171116,20171117,20171120,20171121,20171122,20171123,20171124,20171127,20171128,20171129,20171130,20171201,20171204,20171205,20171206,20171207,20171208,20171211
ZF open,2017-11-06 18:00,2017-11-08 18:00,2017-11-09 18:00,2017-11-12 18:00,2017-11-13 18:00,2017-11-14 18:00,2017-11-15 18:00,2017-11-16 18:00,2017-11-19 18:00,2017-11-20 18:00,2017-11-21 18:00,2017-11-22 18:00,2017-11-23 18:00,2017-11-26 18:00,2017-11-27 18:00,2017-11-28 18:00,2017-11-29 18:00,2017-11-07 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00
ZF close,2017-11-07 17:00,2017-11-09 17:00,2017-11-10 17:00,2017-11-13 17:00,2017-11-14 17:00,2017-11-15 17:00,2017-11-16 17:00,2017-11-17 17:00,2017-11-20 17:00,2017-11-21 17:00,2017-11-22 17:00,2017-11-23 17:00,2017-11-24 17:00,2017-11-27 17:00,2017-11-28 17:00,2017-11-29 17:00,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00
ZF trigger,2017-11-07 16:30,2017-11-09 16:30,2017-11-10 16:30,2017-11-13 16:30,2017-11-14 16:30,2017-11-15 16:30,2017-11-16 16:30,2017-11-17 16:30,2017-11-20 16:30,2017-11-21 16:30,2017-11-22 16:30,2017-11-23 16:30,2017-11-24 16:30,2017-11-27 16:30,2017-11-28 16:30,2017-11-29 16:30,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30
GC open,2017-11-06 18:00,2017-11-08 18:00,2017-11-09 18:00,2017-11-12 18:00,2017-11-13 18:00,2017-11-14 18:00,2017-11-15 18:00,2017-11-16 18:00,2017-11-19 18:00,2017-11-20 18:00,2017-11-21 18:00,2017-11-22 18:00,2017-11-23 18:00,2017-11-26 18:00,2017-11-27 18:00,2017-11-28 18:00,2017-11-29 18:00,2017-11-07 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00
GC close,2017-11-07 17:00,2017-11-09 17:00,2017-11-10 17:00,2017-11-13 17:00,2017-11-14 17:00,2017-11-15 17:00,2017-11-16 17:00,2017-11-17 17:00,2017-11-20 17:00,2017-11-21 17:00,2017-11-22 17:00,2017-11-23 17:00,2017-11-24 17:00,2017-11-27 17:00,2017-11-28 17:00,2017-11-29 17:00,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00
GC trigger,2017-11-07 16:30,2017-11-09 16:30,2017-11-10 16:30,2017-11-13 16:30,2017-11-14 16:30,2017-11-15 16:30,2017-11-16 16:30,2017-11-17 16:30,2017-11-20 16:30,2017-11-21 16:30,2017-11-22 16:30,2017-11-23 16:30,2017-11-24 16:30,2017-11-27 16:30,2017-11-28 16:30,2017-11-29 16:30,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30
HG open,2017-11-06 18:00,2017-11-08 18:00,2017-11-09 18:00,2017-11-12 18:00,2017-11-13 18:00,2017-11-14 18:00,2017-11-15 18:00,2017-11-16 18:00,2017-11-19 18:00,2017-11-20 18:00,2017-11-21 18:00,2017-11-22 18:00,2017-11-23 18:00,2017-11-26 18:00,2017-11-27 18:00,2017-11-28 18:00,2017-11-29 18:00,2017-11-07 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00
HG close,2017-11-07 17:00,2017-11-09 17:00,2017-11-10 17:00,2017-11-13 17:00,2017-11-14 17:00,2017-11-15 17:00,2017-11-16 17:00,2017-11-17 17:00,2017-11-20 17:00,2017-11-21 17:00,2017-11-22 17:00,2017-11-23 17:00,2017-11-24 17:00,2017-11-27 17:00,2017-11-28 17:00,2017-11-29 17:00,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00
HG trigger,2017-11-07 16:30,2017-11-09 16:30,2017-11-10 16:30,2017-11-13 16:30,2017-11-14 16:30,2017-11-15 16:30,2017-11-16 16:30,2017-11-17 16:30,2017-11-20 16:30,2017-11-21 16:30,2017-11-22 16:30,2017-11-23 16:30,2017-11-24 16:30,2017-11-27 16:30,2017-11-28 16:30,2017-11-29 16:30,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30
HO open,2017-11-06 18:00,2017-11-08 18:00,2017-11-09 18:00,2017-11-12 18:00,2017-11-13 18:00,2017-11-14 18:00,2017-11-15 18:00,2017-11-16 18:00,2017-11-19 18:00,2017-11-20 18:00,2017-11-21 18:00,2017-11-22 18:00,2017-11-23 18:00,2017-11-26 18:00,2017-11-27 18:00,2017-11-28 18:00,2017-11-29 18:00,,,,,,,
HO close,2017-11-07 17:00,2017-11-09 17:00,2017-11-10 17:00,2017-11-13 17:00,2017-11-14 17:00,2017-11-15 17:00,2017-11-16 17:00,2017-11-17 17:00,2017-11-20 17:00,2017-11-21 17:00,2017-11-22 17:00,2017-11-23 17:00,2017-11-24 17:00,2017-11-27 17:00,2017-11-28 17:00,2017-11-29 17:00,2017-11-30 17:00,,,,,,,
HO trigger,2017-11-07 16:30,2017-11-09 16:30,2017-11-10 16:30,2017-11-13 16:30,2017-11-14 16:30,2017-11-15 16:30,2017-11-16 16:30,2017-11-17 16:30,2017-11-20 16:30,2017-11-21 16:30,2017-11-22 16:30,2017-11-23 16:30,2017-11-24 16:30,2017-11-27 16:30,2017-11-28 16:30,2017-11-29 16:30,2017-11-30 16:30,,,,,,,
JPY open,2017-11-06 18:00,2017-11-08 18:00,2017-11-09 18:00,2017-11-12 18:00,2017-11-13 18:00,2017-11-14 18:00,2017-11-15 18:00,2017-11-16 18:00,2017-11-19 18:00,2017-11-20 18:00,2017-11-21 18:00,2017-11-22 18:00,2017-11-23 18:00,2017-11-26 18:00,2017-11-27 18:00,2017-11-28 18:00,2017-11-29 18:00,2017-11-07 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00
JPY close,2017-11-07 17:00,2017-11-09 17:00,2017-11-10 17:00,2017-11-13 17:00,2017-11-14 17:00,2017-11-15 17:00,2017-11-16 17:00,2017-11-17 17:00,2017-11-20 17:00,2017-11-21 17:00,2017-11-22 17:00,2017-11-23 17:00,2017-11-24 17:00,2017-11-27 17:00,2017-11-28 17:00,2017-11-29 17:00,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00
JPY trigger,2017-11-07 16:30,2017-11-09 16:30,2017-11-10 16:30,2017-11-13 16:30,2017-11-14 16:30,2017-11-15 16:30,2017-11-16 16:30,2017-11-17 16:30,2017-11-20 16:30,2017-11-21 16:30,2017-11-22 16:30,2017-11-23 16:30,2017-11-24 16:30,2017-11-27 16:30,2017-11-28 16:30,2017-11-29 16:30,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30
LE open,2017-11-07 09:30,2017-11-09 09:30,2017-11-10 09:30,2017-11-13 09:30,2017-11-14 09:30,2017-11-15 09:30,2017-11-16 09:30,2017-11-17 09:30,2017-11-20 09:30,2017-11-21 09:30,2017-11-22 09:30,2017-11-23 09:30,2017-11-24 09:30,2017-11-27 09:30,2017-11-28 09:30,2017-11-29 09:30,2017-11-30 09:30,2017-12-01 09:30,2017-12-04 09:30,2017-12-05 09:30,2017-12-06 09:30,2017-12-07 09:30,2017-12-08 09:30,2017-12-11 09:30
LE close,2017-11-07 14:05,2017-11-09 14:05,2017-11-10 14:05,2017-11-13 14:05,2017-11-14 14:05,2017-11-15 14:05,2017-11-16 14:05,2017-11-17 14:05,2017-11-20 14:05,2017-11-21 14:05,2017-11-22 14:05,2017-11-23 14:05,2017-11-24 14:05,2017-11-27 14:05,2017-11-28 14:05,2017-11-29 14:05,2017-11-30 14:05,2017-12-01 14:05,2017-12-04 14:05,2017-12-05 14:05,2017-12-06 14:05,2017-12-07 14:05,2017-12-08 14:05,2017-12-11 14:05
LE trigger,2017-11-07 13:55,2017-11-09 13:55,2017-11-10 13:55,2017-11-13 13:55,2017-11-14 13:55,2017-11-15 13:55,2017-11-16 13:55,2017-11-17 13:55,2017-11-20 13:55,2017-11-21 13:55,2017-11-22 13:55,2017-11-23 13:55,2017-11-24 13:55,2017-11-27 13:55,2017-11-28 13:55,2017-11-29 13:55,2017-11-30 13:55,2017-12-01 13:55,2017-12-04 13:55,2017-12-05 13:55,2017-12-06 13:55,2017-12-07 13:55,2017-12-08 13:55,2017-12-11 13:55
HE open,2017-11-07 09:30,2017-11-09 09:30,2017-11-10 09:30,2017-11-13 09:30,2017-11-14 09:30,2017-11-15 09:30,2017-11-16 09:30,2017-11-17 09:30,2017-11-20 09:30,2017-11-21 09:30,2017-11-22 09:30,2017-11-23 09:30,2017-11-24 09:30,2017-11-27 09:30,2017-11-28 09:30,2017-11-29 09:30,2017-11-30 09:30,2017-12-01 09:30,2017-12-04 09:30,2017-12-05 09:30,2017-12-06 09:30,2017-12-07 09:30,2017-12-08 09:30,2017-12-11 09:30
HE close,2017-11-07 14:05,2017-11-09 14:05,2017-11-10 14:05,2017-11-13 14:05,2017-11-14 14:05,2017-11-15 14:05,2017-11-16 14:05,2017-11-17 14:05,2017-11-20 14:05,2017-11-21 14:05,2017-11-22 14:05,2017-11-23 14:05,2017-11-24 14:05,2017-11-27 14:05,2017-11-28 14:05,2017-11-29 14:05,2017-11-30 14:05,2017-12-01 14:05,2017-12-04 14:05,2017-12-05 14:05,2017-12-06 14:05,2017-12-07 14:05,2017-12-08 14:05,2017-12-11 14:05
HE trigger,2017-11-07 13:55,2017-11-09 13:55,2017-11-10 13:55,2017-11-13 13:55,2017-11-14 13:55,2017-11-15 13:55,2017-11-16 13:55,2017-11-17 13:55,2017-11-20 13:55,2017-11-21 13:55,2017-11-22 13:55,2017-11-23 13:55,2017-11-24 13:55,2017-11-27 13:55,2017-11-28 13:55,2017-11-29 13:55,2017-11-30 13:55,2017-12-01 13:55,2017-12-04 13:55,2017-12-05 13:55,2017-12-06 13:55,2017-12-07 13:55,2017-12-08 13:55,2017-12-11 13:55
MXP open,2017-11-06 18:00,2017-11-08 18:00,2017-11-09 18:00,2017-11-12 18:00,2017-11-13 18:00,2017-11-14 18:00,2017-11-15 18:00,2017-11-16 18:00,2017-11-19 18:00,2017-11-20 18:00,2017-11-21 18:00,2017-11-22 18:00,2017-11-23 18:00,2017-11-26 18:00,2017-11-27 18:00,2017-11-28 18:00,2017-11-29 18:00,2017-11-07 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00
MXP close,2017-11-07 17:00,2017-11-09 17:00,2017-11-10 17:00,2017-11-13 17:00,2017-11-14 17:00,2017-11-15 17:00,2017-11-16 17:00,2017-11-17 17:00,2017-11-20 17:00,2017-11-21 17:00,2017-11-22 17:00,2017-11-23 17:00,2017-11-24 17:00,2017-11-27 17:00,2017-11-28 17:00,2017-11-29 17:00,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00
